"","Country","Region","Province","Max_reporting","Date","Nr_reporting","Category","Count","Full_reporting","Population","Count_per_1M"
"58","Belgium","All","All",106,2020-03-20,105,"NEW_OUT",55,FALSE,11000638,4.99971001681902
"59","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN",1101,FALSE,11000638,100.085104154868
"60","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_CHG",257,FALSE,11000638,23.362281351318
"61","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ECMO",7,FALSE,11000638,0.63632672941333
"62","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ECMO_CHG",3,FALSE,11000638,0.272711455462856
"63","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ICU",228,FALSE,11000638,20.726070615177
"64","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_ICU_CHG",63,FALSE,11000638,5.72694056471997
"65","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_RESP",168,FALSE,11000638,15.2718415059199
"66","Belgium","All","All",106,2020-03-20,105,"TOTAL_IN_RESP_CHG",53,FALSE,11000638,4.81790237984379
"67","Belgium","All","All",106,2020-03-21,106,"NEW_DELTA",258,TRUE,11000638,23.4531851698056
"68","Belgium","All","All",106,2020-03-21,106,"NEW_IN",332,TRUE,11000638,30.1800677378894
"69","Belgium","All","All",106,2020-03-21,106,"NEW_OUT",74,TRUE,11000638,6.72688256808378
"70","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN",1384,TRUE,11000638,125.810884786864
"71","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_CHG",283,TRUE,11000638,25.7257806319961
"72","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ECMO",6,TRUE,11000638,0.545422910925712
"73","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ECMO_CHG",-1,TRUE,11000638,-0.0909038184876186
"74","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ICU",290,TRUE,11000638,26.3621073614094
"75","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_ICU_CHG",62,TRUE,11000638,5.63603674623235
"76","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_RESP",200,TRUE,11000638,18.1807636975237
"77","Belgium","All","All",106,2020-03-21,106,"TOTAL_IN_RESP_CHG",32,TRUE,11000638,2.9089221916038
"78","Belgium","All","All",106,2020-03-22,105,"NEW_DELTA",229,FALSE,11000638,20.8169744336647
"79","Belgium","All","All",106,2020-03-22,105,"NEW_IN",290,FALSE,11000638,26.3621073614094
"80","Belgium","All","All",106,2020-03-22,105,"NEW_OUT",61,FALSE,11000638,5.54513292774474
"81","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN",1646,FALSE,11000638,149.62768523062
"82","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_CHG",262,FALSE,11000638,23.8168004437561
"83","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ECMO",8,FALSE,11000638,0.727230547900949
"84","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ECMO_CHG",2,FALSE,11000638,0.181807636975237
"85","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ICU",322,FALSE,11000638,29.2710295530132
"86","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_ICU_CHG",32,FALSE,11000638,2.9089221916038
"87","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_RESP",239,FALSE,11000638,21.7260126185409
"88","Belgium","All","All",106,2020-03-22,105,"TOTAL_IN_RESP_CHG",39,FALSE,11000638,3.54524892101713
"89","Belgium","All","All",106,2020-03-23,106,"NEW_DELTA",196,TRUE,11000638,17.8171484235733
"90","Belgium","All","All",106,2020-03-23,106,"NEW_IN",278,TRUE,11000638,25.271261539558
"91","Belgium","All","All",106,2020-03-23,106,"NEW_OUT",82,TRUE,11000638,7.45411311598473
"92","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN",1883,TRUE,11000638,171.171890212186
"93","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_CHG",237,TRUE,11000638,21.5442049815656
"94","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_ECMO",6,TRUE,11000638,0.545422910925712
"95","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_ECMO_CHG",-2,TRUE,11000638,-0.181807636975237
"96","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_ICU",385,TRUE,11000638,34.9979701177332
"97","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_ICU_CHG",63,TRUE,11000638,5.72694056471997
"98","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_RESP",286,TRUE,11000638,25.9984920874589
"99","Belgium","All","All",106,2020-03-23,106,"TOTAL_IN_RESP_CHG",47,TRUE,11000638,4.27247946891808
"100","Belgium","All","All",106,2020-03-24,101,"NEW_DELTA",319,FALSE,11000638,28.9983180975503
"101","Belgium","All","All",106,2020-03-24,101,"NEW_IN",434,FALSE,11000638,39.4522572236265
"102","Belgium","All","All",106,2020-03-24,101,"NEW_OUT",115,FALSE,11000638,10.4539391260761
"103","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN",2140,FALSE,11000638,194.534171563504
"104","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_CHG",257,FALSE,11000638,23.362281351318
"105","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_ECMO",8,FALSE,11000638,0.727230547900949
"106","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_ECMO_CHG",2,FALSE,11000638,0.181807636975237
"107","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_ICU",474,FALSE,11000638,43.0884099631312
"108","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_ICU_CHG",89,FALSE,11000638,8.09043984539806
"109","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_RESP",322,FALSE,11000638,29.2710295530132
"110","Belgium","All","All",106,2020-03-24,101,"TOTAL_IN_RESP_CHG",36,FALSE,11000638,3.27253746555427
"111","Belgium","All","All",106,2020-03-25,104,"NEW_DELTA",412,FALSE,11000638,37.4523732168989
"112","Belgium","All","All",106,2020-03-25,104,"NEW_IN",540,FALSE,11000638,49.0880619833141
"113","Belgium","All","All",106,2020-03-25,104,"NEW_OUT",128,FALSE,11000638,11.6356887664152
"114","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN",2721,FALSE,11000638,247.34929010481
"115","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_CHG",581,FALSE,11000638,52.8151185413064
"116","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_ECMO",10,FALSE,11000638,0.909038184876186
"117","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_ECMO_CHG",2,FALSE,11000638,0.181807636975237
"118","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_ICU",612,FALSE,11000638,55.6331369144226
"119","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_ICU_CHG",138,FALSE,11000638,12.5447269512914
"120","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_RESP",422,FALSE,11000638,38.3614114017751
"121","Belgium","All","All",106,2020-03-25,104,"TOTAL_IN_RESP_CHG",100,FALSE,11000638,9.09038184876186
"122","Belgium","All","All",106,2020-03-26,104,"NEW_DELTA",307,FALSE,11000638,27.9074722756989
"123","Belgium","All","All",106,2020-03-26,104,"NEW_IN",490,FALSE,11000638,44.5428710589331
"124","Belgium","All","All",106,2020-03-26,104,"NEW_OUT",183,FALSE,11000638,16.6353987832342
"125","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN",3077,FALSE,11000638,279.711049486403
"126","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_CHG",356,FALSE,11000638,32.3617593815922
"127","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_ECMO",11,FALSE,11000638,0.999942003363805
"128","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_ECMO_CHG",1,FALSE,11000638,0.0909038184876186
"129","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_ICU",690,FALSE,11000638,62.7236347564569
"130","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_ICU_CHG",78,FALSE,11000638,7.09049784203425
"131","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_RESP",498,FALSE,11000638,45.2701016068341
"132","Belgium","All","All",106,2020-03-26,104,"TOTAL_IN_RESP_CHG",76,FALSE,11000638,6.90869020505902
"133","Belgium","All","All",106,2020-03-27,105,"NEW_DELTA",370,FALSE,11000638,33.6344128404189
"134","Belgium","All","All",106,2020-03-27,105,"NEW_IN",575,FALSE,11000638,52.2696956303807
"135","Belgium","All","All",106,2020-03-27,105,"NEW_OUT",205,FALSE,11000638,18.6352827899618
"136","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN",3650,FALSE,11000638,331.798937479808
"137","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_CHG",573,FALSE,11000638,52.0878879934055
"138","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_ECMO",16,FALSE,11000638,1.4544610958019
"139","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_ECMO_CHG",5,FALSE,11000638,0.454519092438093
"140","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_ICU",789,FALSE,11000638,71.7231127867311
"141","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_ICU_CHG",99,FALSE,11000638,8.99947803027424
"142","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_RESP",579,FALSE,11000638,52.6333109043312
"143","Belgium","All","All",106,2020-03-27,105,"TOTAL_IN_RESP_CHG",81,FALSE,11000638,7.36320929749711
"144","Belgium","All","All",106,2020-03-28,105,"NEW_DELTA",333,FALSE,11000638,30.270971556377
"145","Belgium","All","All",106,2020-03-28,105,"NEW_IN",629,FALSE,11000638,57.1785018287121
"146","Belgium","All","All",106,2020-03-28,105,"NEW_OUT",296,FALSE,11000638,26.9075302723351
"147","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN",4089,FALSE,11000638,371.705713795873
"148","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_CHG",439,FALSE,11000638,39.9067763160646
"149","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_ECMO",20,FALSE,11000638,1.81807636975237
"150","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_ECMO_CHG",4,FALSE,11000638,0.363615273950474
"151","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_ICU",867,FALSE,11000638,78.8136106287653
"152","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_ICU_CHG",78,FALSE,11000638,7.09049784203425
"153","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_RESP",656,FALSE,11000638,59.6329049278778
"154","Belgium","All","All",106,2020-03-28,105,"TOTAL_IN_RESP_CHG",77,FALSE,11000638,6.99959402354663
"155","Belgium","All","All",106,2020-03-29,104,"NEW_DELTA",376,FALSE,11000638,34.1798357513446
"156","Belgium","All","All",106,2020-03-29,104,"NEW_IN",545,FALSE,11000638,49.5425810757522
"157","Belgium","All","All",106,2020-03-29,104,"NEW_OUT",169,FALSE,11000638,15.3627453244075
"158","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN",4480,FALSE,11000638,407.249106824531
"159","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_CHG",391,FALSE,11000638,35.5433930286589
"160","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_ECMO",19,FALSE,11000638,1.72717255126475
"161","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_ECMO_CHG",-1,FALSE,11000638,-0.0909038184876186
"162","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_ICU",942,FALSE,11000638,85.6313970153367
"163","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_ICU_CHG",75,FALSE,11000638,6.8177863865714
"164","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_RESP",709,FALSE,11000638,64.4508073077216
"165","Belgium","All","All",106,2020-03-29,104,"TOTAL_IN_RESP_CHG",53,FALSE,11000638,4.81790237984379
"166","Belgium","All","All",106,2020-03-30,104,"NEW_DELTA",310,FALSE,11000638,28.1801837311618
"167","Belgium","All","All",106,2020-03-30,104,"NEW_IN",478,FALSE,11000638,43.4520252370817
"168","Belgium","All","All",106,2020-03-30,104,"NEW_OUT",168,FALSE,11000638,15.2718415059199
"169","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN",4897,FALSE,11000638,445.155999133868
"170","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_CHG",417,FALSE,11000638,37.906892309337
"171","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_ECMO",20,FALSE,11000638,1.81807636975237
"172","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_ECMO_CHG",1,FALSE,11000638,0.0909038184876186
"173","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_ICU",1021,FALSE,11000638,92.8127986758586
"174","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_ICU_CHG",79,FALSE,11000638,7.18140166052187
"175","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_RESP",786,FALSE,11000638,71.4504013312682
"176","Belgium","All","All",106,2020-03-30,104,"TOTAL_IN_RESP_CHG",77,FALSE,11000638,6.99959402354663
"177","Belgium","All","All",106,2020-03-31,105,"NEW_DELTA",117,FALSE,11000638,10.6357467630514
"178","Belgium","All","All",106,2020-03-31,105,"NEW_IN",553,FALSE,11000638,50.2698116236531
"179","Belgium","All","All",106,2020-03-31,105,"NEW_OUT",436,FALSE,11000638,39.6340648606017
"180","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN",4989,FALSE,11000638,453.519150434729
"181","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_CHG",92,FALSE,11000638,8.36315130086091
"182","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_ECMO",24,FALSE,11000638,2.18169164370285
"183","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_ECMO_CHG",4,FALSE,11000638,0.363615273950474
"184","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_ICU",1088,FALSE,11000638,98.9033545145291
"185","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_ICU_CHG",67,FALSE,11000638,6.09055583867045
"186","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_RESP",834,FALSE,11000638,75.8137846186739
"187","Belgium","All","All",106,2020-03-31,105,"TOTAL_IN_RESP_CHG",48,FALSE,11000638,4.36338328740569
"188","Belgium","All","All",106,2020-04-01,105,"NEW_DELTA",221,FALSE,11000638,20.0897438857637
"189","Belgium","All","All",106,2020-04-01,105,"NEW_IN",584,FALSE,11000638,53.0878299967693
"190","Belgium","All","All",106,2020-04-01,105,"NEW_OUT",363,FALSE,11000638,32.9980861110056
"191","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN",5220,FALSE,11000638,474.517932505369
"192","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_CHG",231,FALSE,11000638,20.9987820706399
"193","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_ECMO",29,FALSE,11000638,2.63621073614094
"194","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_ECMO_CHG",5,FALSE,11000638,0.454519092438093
"195","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_ICU",1144,FALSE,11000638,103.993968349836
"196","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_ICU_CHG",56,FALSE,11000638,5.09061383530664
"197","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_RESP",906,FALSE,11000638,82.3588595497825
"198","Belgium","All","All",106,2020-04-01,105,"TOTAL_IN_RESP_CHG",72,FALSE,11000638,6.54507493110854
"199","Belgium","All","All",106,2020-04-02,104,"NEW_DELTA",191,FALSE,11000638,17.3626293311352
"200","Belgium","All","All",106,2020-04-02,104,"NEW_IN",568,FALSE,11000638,51.6333689009674
"201","Belgium","All","All",106,2020-04-02,104,"NEW_OUT",377,FALSE,11000638,34.2707395698322
"202","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN",5383,FALSE,11000638,489.335254918851
"203","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_CHG",163,FALSE,11000638,14.8173224134818
"204","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_ECMO",28,FALSE,11000638,2.54530691765332
"205","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_ECMO_CHG",-1,FALSE,11000638,-0.0909038184876186
"206","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_ICU",1205,FALSE,11000638,109.53910127758
"207","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_ICU_CHG",61,FALSE,11000638,5.54513292774474
"208","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_RESP",916,FALSE,11000638,83.2678977346587
"209","Belgium","All","All",106,2020-04-02,104,"TOTAL_IN_RESP_CHG",10,FALSE,11000638,0.909038184876186
"210","Belgium","All","All",106,2020-04-03,105,"NEW_DELTA",129,FALSE,11000638,11.7265925849028
"211","Belgium","All","All",106,2020-04-03,105,"NEW_IN",504,FALSE,11000638,45.8155245177598
"212","Belgium","All","All",106,2020-04-03,105,"NEW_OUT",375,FALSE,11000638,34.088931932857
"213","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN",5513,FALSE,11000638,501.152751322241
"214","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_CHG",130,FALSE,11000638,11.8174964033904
"215","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_ECMO",31,FALSE,11000638,2.81801837311618
"216","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_ECMO_CHG",3,FALSE,11000638,0.272711455462856
"217","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_ICU",1245,FALSE,11000638,113.175254017085
"218","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_ICU_CHG",40,FALSE,11000638,3.63615273950475
"219","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_RESP",985,FALSE,11000638,89.5402612103044
"220","Belgium","All","All",106,2020-04-03,105,"TOTAL_IN_RESP_CHG",69,FALSE,11000638,6.27236347564568
"221","Belgium","All","All",106,2020-04-04,105,"NEW_DELTA",-5,FALSE,11000638,-0.454519092438093
"222","Belgium","All","All",106,2020-04-04,105,"NEW_IN",499,FALSE,11000638,45.3610054253217
"223","Belgium","All","All",106,2020-04-04,105,"NEW_OUT",504,FALSE,11000638,45.8155245177598
"224","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN",5531,FALSE,11000638,502.789020055019
"225","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_CHG",18,FALSE,11000638,1.63626873277714
"226","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_ECMO",31,FALSE,11000638,2.81801837311618
"227","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_ECMO_CHG",0,FALSE,11000638,0
"228","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_ICU",1261,FALSE,11000638,114.629715112887
"229","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_ICU_CHG",16,FALSE,11000638,1.4544610958019
"230","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_RESP",1002,FALSE,11000638,91.0856261245939
"231","Belgium","All","All",106,2020-04-04,105,"TOTAL_IN_RESP_CHG",17,FALSE,11000638,1.54536491428952
"232","Belgium","All","All",106,2020-04-05,104,"NEW_DELTA",123,FALSE,11000638,11.1811696739771
"233","Belgium","All","All",106,2020-04-05,104,"NEW_IN",358,FALSE,11000638,32.5435670185675
"234","Belgium","All","All",106,2020-04-05,104,"NEW_OUT",235,FALSE,11000638,21.3623973445904
"235","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN",5620,FALSE,11000638,510.879459900417
"236","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_CHG",89,FALSE,11000638,8.09043984539806
"237","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_ECMO",37,FALSE,11000638,3.36344128404189
"238","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_ECMO_CHG",6,FALSE,11000638,0.545422910925712
"239","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_ICU",1267,FALSE,11000638,115.175138023813
"240","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_ICU_CHG",6,FALSE,11000638,0.545422910925712
"241","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_RESP",1013,FALSE,11000638,92.0855681279577
"242","Belgium","All","All",106,2020-04-05,104,"TOTAL_IN_RESP_CHG",11,FALSE,11000638,0.999942003363805
"243","Belgium","All","All",106,2020-04-06,104,"NEW_DELTA",143,FALSE,11000638,12.9992460437295
"244","Belgium","All","All",106,2020-04-06,104,"NEW_IN",314,FALSE,11000638,28.5437990051122
"245","Belgium","All","All",106,2020-04-06,104,"NEW_OUT",171,FALSE,11000638,15.5445529613828
"246","Belgium","All","All",106,2020-04-06,104,"TOTAL_IN",5759,FALSE,11000638,523.515090670196
"247","Belgium","All","All",106,2020-04-06,104,"TOTAL_IN_CHG",139,FALSE,11000638,12.635630769779
"248","Belgium","All","All",106,2020-04-06,104,"TOTAL_IN_ECMO",38,FALSE,11000638,3.45434510252951
"249","Belgium","All","All",106,2020-04-06,104,"TOTAL_IN_ECMO_CHG",1,FALSE,11000638,0.0909038184876186
"250","Belgium","All","All",106,2020-04-06,104,"TOTAL_IN_ICU",1260,FALSE,11000638,114.538811294399
